,Ticker,Price_Present,Price_Future,Label
454,ABAX,49.84,49.45,2
455,ABAX,49.45,50.29,2
456,ABAX,50.29,48.01,1
457,ABAX,47.62,47.86,2
458,ABAX,46.33,46.13,2
459,ABAX,46.13,64.59,0
460,ABAX,64.59,68.4,0
461,ABAX,,,ABAX
462,ABBV,35.85,44.24,0
463,ABBV,43.49,45.06,0
464,ABBV,44.71,48.57,0
465,ABBV,47.48,50.56,0
466,ABBV,51.04,53.27,0
467,ABBV,52.26,53.31,2
468,ABBV,52.43,61.5,0
469,ABBV,61.5,55.48,1
470,ABBV,61.3,65.89,0
471,ABBV,65.24,69.21,0
472,ABBV,68.62,63.23,1
473,ABBV,64.13,52.89,1
474,ABBV,54.29,59.28,0
475,ABBV,62.51,66.34,0
476,ABBV,66.54,58.91,1
477,ABBV,58.91,60.56,2
478,ABBV,61.77,65.37,0
479,ABBV,66.99,71.22,0
480,ABBV,71.22,93.96,0
481,ABBV,93.96,113.62,0
482,ABBV,118.6,105.04,1
483,ABBV,100.17,97.06,1
484,ABBV,94.06,86.96,1
485,ABBV,86.96,79.17,1
486,ABBV,79.41,78.03,2
487,ABBV,78.71,65.23,1
488,ABBV,65.23,81.84,0
489,ABBV,82.08,87.18,0
490,ABBV,,,ABBV
491,ABC,30.95,36.84,0
492,ABC,36.56,42.22,0
493,ABC,41.47,34.63,1
494,ABC,34.63,39.58,0
495,ABC,36.63,36.8,2
496,ABC,38.87,35.95,1
497,ABC,36.58,38.69,0
498,ABC,38.69,40.47,0
499,ABC,41.22,47.03,0
500,ABC,46.89,55.1,0
501,ABC,54.81,59.49,0
502,ABC,58.74,66.73,0
503,ABC,70.61,68.26,1
504,ABC,66.54,64.54,1
505,ABC,64.54,74.96,0
506,ABC,74.96,86.73,0
507,ABC,90.32,103.29,0
508,ABC,97.04,114.06,0
509,ABC,115.3,104.65,1
510,ABC,104.75,97.61,1
511,ABC,98.5,87.08,1
512,ABC,84.4,84.29,2
513,ABC,78.0,89.35,0
514,ABC,89.43,75.96,1
515,ABC,78.41,91.34,0
516,ABC,87.28,82.49,1
517,ABC,86.53,80.83,1
518,ABC,81.71,74.8,1
519,ABC,79.46,98.57,0
520,ABC,91.54,84.69,1
521,ABC,92.18,78.98,1
522,ABC,78.98,88.57,0
523,ABC,88.87,86.33,2
524,ABC,83.37,74.76,1
525,ABC,77.06,90.44,0
526,ABC,91.7,86.87,1
527,ABC,,,ABC
528,ABC,,,ABC
529,ABCD,2.79,3.26,0
530,ABCD,3.26,3.07,1
531,ABCD,2.97,1.19,1
532,ABCD,1.95,0.94,1
533,ABCD,0.89,0.96,0
534,ABCD,0.84,1.32,0
535,ABCD,1.17,1.28,0
536,ABCD,1.01,1.17,0
537,ABCD,1.23,1.4,0
538,ABCD,1.25,1.79,0
539,ABCD,2.04,2.08,2
540,ABCD,2.19,1.84,1
541,ABCD,1.83,1.75,1
542,ABCD,1.51,2.62,0
543,ABCD,2.98,4.19,0
544,ABCD,3.0,4.45,0
545,ABCD,4.57,5.28,0
546,ABCD,5.41,3.9,1
547,ABCD,4.67,4.68,2
548,ABCD,4.19,4.72,0
549,ABCD,4.89,4.95,2
550,ABCD,4.9,4.94,2
551,ABCD,4.71,4.91,0
552,ABCD,5.01,4.82,1
553,ABCD,5.14,6.81,0
554,ABCD,5.87,7.57,0
555,ABCD,8.36,10.16,0
556,ABCD,10.49,11.92,0
557,ABCD,11.69,14.42,0
558,ABCD,,,ABCD
559,ABD,8.29,7.17,1
560,ABD,6.65,9.65,0
561,ABD,12.82,10.52,1
562,ABD,10.37,7.31,1
563,ABD,7.52,7.09,1
564,ABD,7.24,8.33,0
565,ABD,7.5,7.31,2
566,ABD,6.96,7.05,2
567,ABD,6.79,5.69,1
568,ABD,5.85,5.81,2
569,ABD,5.81,6.08,0
570,ABD,6.13,6.5,0
571,ABD,6.5,7.9,0
572,ABD,8.44,8.29,2
573,ABD,7.53,7.55,2
574,ABD,8.06,8.04,2
575,ABD,8.04,8.0,2
576,ABD,8.26,5.9,1
577,ABD,7.21,9.86,0
578,ABD,9.78,11.22,0
579,ABD,10.24,10.95,0
580,ABD,11.25,13.2,0
581,ABD,13.9,11.25,1
582,ABD,12.45,10.9,1
583,ABD,10.75,12.85,0
584,ABD,12.7,11.9,1
